Aeroporto,Latitude,Longitude,Altitude,Altitude,id
RIO BRANCO AEROPORTO,-9.87,-67.9,143,143,AC,1
MACEIO AEROPORTO,-9.52,-35.78,117,117,AL,2
OIAPOQUE AEROPORTO,3.84,-51.82,39,39,AP,3
MACAPA AEROPORTO,0.05,-51.07,17,17,AP,4
AMAPA AEROPORTO,02.07,-50.85,10,10,AP,5
MANAUS AEROPORTO,-3.13,-59.98,84,84,AM,6
ITACOATIARA AEROPORTO,-3.13,-58.48,43,43,AM,7
TABATINGA AEROPORTO,-4.25,-69.93,371,371,AM,8
IAUARETE AEROPORTO,0.61,-69.2,105,105,AM,9
ILHEUS AEROPORTO,-14.8,-39.03,5,5,BA,10
CARAVELAS AEROPORTO,-17.65,-39.25,4,4,BA,11
SALVADOR AEROPORTO,-12.91,-38.33,6,6,BA,12
PAULO AFONSO AEROPORTO,-9.4,-38.25,269,269,BA,13
FORTALEZA AEROPORTO,-3.77,-38.52,25,25,CE,14
BRASILIA AEROPORTO,-15.87,-47.92,"1,061","1,061",DF,15
VITORIA AEROPORTO,-20.25,-40.28,4,4,ES,16
ANAPOLIS AEROPORTO,-16.24,-48.97,"1,137","1,137",GO,17
GOIANIA AEROPORTO,-16.62,-49.22,747,747,GO,18
IMPERATRIZ AEROPORTO,-5.52,-47.46,131,131,MA,19
SAO LUIS AEROPORTO,-2.6,-44.23,53,53,MA,20
ALTA FLORESTA AEROPORTO,-9.85,-56.1,288,288,MG,21
CAMPO GRANDE AEROPORTO,-20.47,-54.67,567,567,MS,22
CORUMBA AEROPORTO,-19,-57.67,142,142,MS,23
UBERABA AEROPORTO,-19.75,-47.97,807,807,MG,24
BELO HORIZONTE AEROPORTO,-19.85,-43.95,785,785,MG,25
CARLOS PRATES AEROPORTO,-19.9,-43.98,927,927,MG,26
BARBACENA AEROPORTO,-21.27,-43.75,"1,115","1,115",MG,27
POCOS DE CALDAS AEROPORTO,-21.83,-46.55,"1,26","1,26",MG,28
CONFINS AEROPORTO,-19.62,-43.97,828,828,MG,29
BELEM AEROPORTO,-1.4,-48.45,16,16,PA,30
SANTAREM AEROPORTO,-2.42,-54.78,72,72,PA,31
CACHIMBO AEROPORTO,-9.33,-54.97,537,537,PA,32
JOAO PESSOA AEROPORTO,-7.12,-34.95,65,65,PB,33
LONDRINA AEROPORTO,-23.32,-51.14,569,569,PR.34
FOZ DO IGUACU AEROPORTO,-25.6,-54.48,180,180,PR,35
CURITIBA AEROPORTO,-25.52,-49.17,908,908,PR,36
BACACHERI AEROPORTO,-25.4,-49.23,932,932,PR,37
RECIFE AEROPORTO,-8.12,-34.92,19,19,PE,38
PETROLINA AEROPORTO,-9.37,-40.55,375,375,PE,39
PARNAIBA AEROPORTO,-2.88,-41.72,5,5,PI,40
TERESINA AEROPORTO,-5.05,-42.82,69,69,PI,41
AFONSOS AEROPORTO,-22.88,-43.38,34,34,RJ,42
SANTA CRUZ AEROPORTO,-22.93,-43.72,3,3,RJ,43
GALEAO AEROPORTO,-22.8,-43.25,6,6,RJ,44
JACAREPAGUA AEROPORTO,-22.99,-43.37,3,3,RJ,45
NATAL AEROPORTO,-5.91,-35.23,52,52,RN,46
PORTO ALEGRE AEROPORTO,-29.99,-51.17,3,3,RS,47
BAGE AEROPORTO,-31.39,-54.1,180,180,RS,48
PELOTAS AEROPORTO,-31.72,-52.32,18,18,RS,49
PORTO VELHO AEROPORTO,-8.7,-63.9,102,102,RO,50
VILHENA AEROPORTO,-12.69,-60.11,612,612,RO,51
BOA VISTA AEROPORTO,2.84,-60.68,140,140,RR,52
FLORIANOPOLIS AEROPORTO,-27.67,-48.55,5,5,SC,53
CAMPO DE MARTE AEROPORTO,-23.51,-46.63,722,722,SP,54
PIRASSUNUNGA AEROPORTO,-21.98,-47.34,598,598,SP,55
CAMPINAS AEROPORTO,-23,-47.13,661,661,SP,56
SAO PAULO AEROPORTO,-23.62,-46.65,803,803,SP,57
SANTOS AEROPORTO,-23.92,-46.28,3,3,SP,58
GUARULHOS AEROPORTO,-23.44,-46.47,750,750,SP,59
RIBEIRAO PRETO AEROPORTO,-21.13,-47.77,549,549,SP,60
PALMAS AEROPORTO,-10.28,-48.35,238,238,TO,61
